Species,Common_Name,Original_Assembly_Name,Trimmed_Taxon_Name,Tree_Leaf_Name
Lagothrix lagotricha,Brown woolly monkey,HLlagLag1,lagLag,lagLag
Alouatta palliata,mantled howler monkey,HLaloPal1,aloPal,aloPal
Alouatta caraya,Black howler monkey,HLaloCara1,aloCara,aloCara
Cacajao hosomi,Primates,HLcacHos1,cacHos,cacHos
Cacajao ayresi,Primates,HLcacAyr1,cacAyr,cacAyr
Cacajao melanocephalus,Black-headed Uacari,HLcacMel1,cacMel,cacMel
Cacajao calvus,Bald Uacari,HLcacCal1,cacCal,cacCal
Chiropotes israelita,Primates,HLchiIsr1,chiIsr,chiIsr
Chiropotes sagulatus,Primates,HLchiSag1,chiSag,chiSag
Pithecia vanzolinii,Vanzolinis bald-faced saki,HLpitVan1,pitVan,pitVan
Pithecia mittermeieri,Mittermeiers Tapajos saki,HLpitMit1,pitMit,pitMit
Pithecia pithecia,white-faced saki,HLpitPit1,pitPit,pitPit
Cheracebus torquatus,Collared titi,HLcheTor1,cheTor,cheTor
Cheracebus regulus,Jurua collared titi,HLcheReg1,cheReg,cheReg
Cheracebus lucifer,Primates,HLcheLuc1,cheLuc,cheLuc
Cheracebus lugens,Black titi,HLcheLug1,cheLug,cheLug
Plecturocebus moloch,Red-bellied titi,HLpleMol1,pleMol,pleMol
Plecturocebus grovesi,Alta Floresta titi monkey,HLpleGro1,pleGro,pleGro
Plecturocebus bernhardi,Prince Bernhards titi,HLpleBer1,pleBer,pleBer
Plecturocebus cupreus,Coppery titi,HLpleCup1,pleCup,pleCup
Plecturocebus brunneus,Brown titi,HLpleBru1,pleBru,pleBru
Plecturocebus caligatus,Chestnut-bellied titi,HLpleCal1,pleCal,pleCal
Plecturocebus dubius,Primates,HLpleDub1,pleDub,pleDub
Plecturocebus cinerascens,Ashy titi,HLpleCin1,pleCin,pleCin
Plecturocebus miltoni,Miltons titi,HLpleMil1,pleMil,pleMil
Plecturocebus hoffmannsi,Hoffmanns titi,HLpleHof1,pleHof,pleHof
Plecturocebus donacophilus,Bolivian titi,HLpleDon1,pleDon,pleDon
Cephalopachus bancanus,Horsfields tarsier,HLcepBan1,cepBan,cepBan
Microcebus murinus,gray mouse lemur,micMur3,micMur,micMur
Microcebus griseorufus,Reddish-gray mouse lemur,HLmicGri1,micGri,micGri
Microcebus ravelobensis,Golden brown mouse lemur,HLmicRav1,micRav,micRav
Microcebus sp. 3 GT-2019,unclassified mouse lemur,HLmicSpe31,micSpe,micSpe
Microcebus tavaratra,Northern rufous mouse lemur,HLmicTav1,micTav,micTav
Microcebus lehilahytsara,Mittermeiers mouse lemur,HLmicMit1,micMit,micMit
Mirza coquereli,Coquerels mouse lemur,HLmirCoq1,mirCoq,mirCoq
Mirza zaza,Northern giant mouse lemur,HLmirZaz1,mirZaz,mirZaz
Cheirogaleus medius,Lesser dwarf lemur,HLcheMed1,cheMed,cheMed
Eulemur rufifrons,Bennetts brown lemur,HLeulRuf1,eulRuf,eulRuf
Eulemur fulvus collaris,brown lemur,HLeulCol1,eulCol,eulCol
Eulemur fulvus,brown lemur,HLeulFul1,eulFul,eulFul
Eulemur mongoz,mongoose lemur,HLeulMon1,eulMon,eulMon
Eulemur flavifrons,Sclaters lemur,HLeulFla1,eulFla,eulFla
Eulemur macaco,black lemur,eulMac1,eulMac,eulMac
Eulemur coronatus,Crowned lemur,HLeulCoro1,eulCoro,eulCoro
Hapalemur alaotrensis,Lac Alaotra bamboo lemur,HLhapAlao1,hapAlao,hapAlao
Prolemur simus,greater bamboo lemur,HLproSim1,proSim,proSim
Lemur catta,Ring-tailed lemur,HLlemCat2,lemCat,lemCat
Varecia variegata,ruffed lemur,HLvarVar1,varVar,varVar
Propithecus coquereli,Coquerels sifaka,HLproCoq2,proCoq,proCoq
Indri indri,Indri,HLindInd1,indInd,indInd
Daubentonia madagascariensis,aye-aye,HLdauMad1,dauMad,dauMad
Otolemur crassicaudatus,thick-tailed bush baby,HLotoCra1,otoCra,otoCra
Otolemur garnettii,small-eared galago,otoGar3,otoGar,otoGar
Galago senegalensis,Senegal galago,HLgalSen1,galSen,galSen
Galago moholi,Moholi bushbaby,HLgalMoh1,galMoh,galMoh
Nycticebus coucang,slow loris,HLnycCou2,nycCou,nycCou
Nycticebus bengalensis,Bengal slow loris,HLnycBen1,nycBen,nycBen
Xanthonycticebus pygmaeus,pygmy slow loris,HLxanPyg1,xanPyg,xanPyg
Loris tardigradus,slender loris,HLlorTar1,lorTar,lorTar
Cynocephalus volans,Philippine flying lemur,HLcynVol1,cynVol,cynVol
Galeopterus variegatus,Sunda flying lemur,HLgalVar2,galVar,galVar
Tupaia tana,large tree shrew,HLtupTan1,tupTan,tupTan
Tupaia chinensis,Chinese tree shrew,HLtupChi2,tupChi,tupChi
Oryctolagus cuniculus,Rabbit,HLoryCuni5,oryCuni,oryCuni
Oryctolagus cuniculus cuniculus,rabbit,HLoryCunCun4,oryCunCun,oryCunCun
Sylvilagus bachmani,brush rabbit,HLsylBac1,sylBac,sylBac
Sylvilagus floridanus,eastern cottontail,HLsylFlo1,sylFlo,sylFlo
Lepus townsendii,White-tailed jackrabbit,HLlepTow1,lepTow,lepTow
